CurrentMilk,Previous
45,45
86,86
50,50
42,42
61,61
93,93
91,91
90,90
53,53
84,84
70,20
76,50
95,60
69,55
99,81
97,24
49,51
108,58
98,98
71,57
58,47
76,82
70,57
69,57
92,63
86,46
95,81
84,65
56,54
92,95
90,85
58,54
57,62
21,26
86,73
52,60
51,52
42,45
59,37
54,60
56,57
70,70
37,44
74,73
20,42
60,63
44,42
54,49
76,52
62,57
20,24
63,56
83,72
45,55
58,59
54,51
44,51
46,49
53,58
29,29
58,63
69,71
45,62
68,72
56,48
52,48
49,50
29,30
54,59
46,35
60,60
68,67
52,50
57,62
64,62
58,53
77,72
77,76
69,87
33,39
69,75
54,59
70,56
58,61
59,62
57,59
69,64
69,62
68,69
45,45
83,81
60,78
53,53
61,62
83,74
73,45
61,31
78,80
64,57
67,70
59,60
50,59
64,66
48,42
80,75
64,63
53,60
60,62
48,71
46,57
74,67
72,70
28,36
42,47
27,31
26,28
23,17
61,56
47,45
27,25
65,59
77,79
73,57
61,62
58,59
103,99
74,64
70,62
78,62
54,52
85,75
79,75
75,62
100,93
113,87
92,92
59,53
49,75
77,67
78,78
56,51
93,85
79,86
71,73
67,72
62,53
69,56
68,68
60,61
88,100
80,66
79,84
61,63
75,66
69,66
70,86
56,45
70,81
80,93
74,89
82,63
77,72
72,65
103,104
82,85
69,58
87,96
82,93
64,64
63,63
86,72
79,91
75,78
42,60
82,75
61,52
85,75
67,74
80,73
63,64
62,73
62,66
45,42
38,34
80,73
57,72
67,62
54,57
46,47
14,53
55,64
68,76
54,63
53,64
89,89
68,69
55,54
47,57
73,61
